seq,price,qty,side
687,101,3,B
688,101,2,B
689,101,1,B
690,100,7,S
691,101,4,B
692,101,4,B
693,101,1,B
694,101,6,B
695,101,2,B
696,101,1,B
697,101,5,B
698,101,3,B
699,100,2,S
700,100,4,S
701,100,6,S
702,100,2,S
703,100,4,S
704,100,5,S
705,101,4,B
706,101,6,B
707,101,1,B
708,101,6,B
709,101,1,B
710,100,8,S
711,101,3,B
712,100,2,S
713,100,4,S
714,100,1,S
715,101,2,B
716,100,4,S
717,100,5,S
718,100,2,S
719,99,4,S
720,100,1,B
721,101,3,B
722,101,2,B
723,100,5,S
724,99,1,S
725,99,1,S
726,99,2,S
727,100,2,B
728,99,4,S
729,99,6,S
730,100,1,B
731,99,4,S
732,99,6,S
733,100,3,B
734,101,3,B
735,99,1,S
736,99,3,S
737,99,2,B
738,98,1,S
739,98,8,S
740,98,1,S
741,98,7,S
742,99,2,B
743,98,3,S
744,98,7,S
745,98,2,S
746,98,6,S
747,99,2,B
748,99,3,S
749,98,3,S
750,98,2,S
751,98,2,S
752,98,2,S
753,98,1,S
754,98,7,S
755,98,1,S
756,98,4,S
757,100,2,B
758,100,2,B
759,100,7,B
760,100,2,B
761,99,2,S
762,99,2,S
763,99,1,S
764,100,2,B
765,100,1,B
766,100,3,B
767,100,4,S
768,99,5,S
769,99,4,S
770,98,3,S
771,98,1,S
772,99,2,B
773,99,2,S
774,98,1,S
775,98,4,S
776,101,1,B
777,101,2,B
778,98,1,S
779,98,7,S
780,98,2,S
781,98,4,S
782,99,2,B
783,98,4,S
784,98,5,S
785,98,1,S
786,99,2,B
787,98,4,S
788,98,2,S
789,98,2,S
790,99,2,B
791,100,1,B
792,100,4,B
793,100,4,B
794,98,1,S
795,97,3,S
796,97,2,S
797,97,3,S
798,97,1,S
799,97,2,S
800,97,5,S
801,97,1,S
802,98,2,S
803,98,3,S
804,97,7,S
805,97,1,S
806,98,4,B
807,100,2,B
808,101,5,B
809,100,1,B
810,100,8,B
811,100,2,B
812,100,6,B
813,101,2,B
814,101,1,B
815,101,2,B
816,101,2,B
817,100,2,S
818,99,4,S
819,99,1,S
820,99,1,S
821,99,1,S
822,100,5,B
823,99,2,S
824,99,5,S
825,99,2,S
826,100,3,B
827,100,6,B
828,100,2,B
829,101,5,B
830,100,4,S
831,100,4,S
832,100,1,S
833,101,3,B
834,100,2,S
835,100,2,S
836,100,1,S
837,99,1,S
838,100,3,B
839,101,1,B
840,99,1,S
841,101,1,B
842,101,6,B
843,101,2,B
844,101,2,B
845,101,3,B
846,101,3,B
847,100,4,S
848,100,1,S
849,99,4,S
850,99,1,S
851,99,1,S
852,99,3,S
853,101,3,B
854,101,1,B
855,101,4,B
856,99,1,S
857,101,5,B
858,101,2,B
859,101,5,B
860,99,5,S
861,99,4,S
862,100,1,B
863,100,1,B
864,99,1,S
865,99,7,S
866,99,1,S
867,99,2,S
868,98,1,S
869,100,6,B
870,100,1,B
871,100,6,B
872,100,3,B
873,98,3,S
874,98,6,S
875,99,4,S
876,98,2,S
877,98,6,S
878,98,2,S
879,98,1,S
880,98,2,S
881,98,3,S
882,98,1,S
883,98,6,S
884,97,1,S
885,99,4,B
886,99,3,B
887,97,2,S
888,97,2,S
889,97,1,S
890,97,6,S
891,97,2,S
892,98,5,B
893,98,2,B
894,99,5,B
895,99,4,S
896,99,1,S
897,98,1,S
898,100,2,B
899,100,1,B
900,100,6,B
901,100,4,B
902,98,5,S
903,98,1,S
904,98,2,S
905,98,1,S
906,100,5,B
907,100,5,B
908,100,3,B
909,101,2,B
910,101,3,B
911,101,1,B
912,99,8,S
913,98,5,S
914,100,8,B
915,100,2,B
916,98,3,S
917,98,4,B
918,100,3,B
919,100,1,B
920,99,4,B
921,98,6,S
922,98,4,S
923,98,3,S
924,99,5,B
925,99,1,B
926,97,5,S
927,99,9,B
928,98,1,B
929,99,4,B
930,98,6,S
931,97,3,S
932,97,1,S
933,99,2,B
934,99,2,B
935,99,2,B
936,99,5,B
937,99,3,B
938,100,6,B
939,99,3,B
940,100,3,B
941,98,5,S
942,98,5,S
943,98,2,S
944,99,2,B
945,99,1,B
946,99,2,B
947,98,2,S
948,97,5,S
949,99,3,B
950,99,2,B
951,97,3,S
952,97,1,S
953,99,6,B
954,100,1,B
955,99,2,S
956,98,3,S
957,98,2,S
958,98,1,B
959,98,3,B
960,100,1,B
961,98,1,S
962,98,4,S
963,98,4,S
964,97,3,S
965,99,3,B
966,100,3,B
967,100,1,B
968,100,1,B
969,100,3,B
970,100,3,B
971,100,1,B
972,100,7,B
973,100,1,B
974,98,7,S
975,97,5,S
976,97,4,S
977,97,3,S
978,97,5,S
979,97,2,S
980,100,2,B
981,99,1,S
982,97,2,S
983,98,1,B
984,97,8,S
985,97,2,S
986,98,4,B
987,98,2,S
988,97,1,S
989,99,8,B
990,98,2,B
991,97,1,S
992,97,3,S
993,97,4,S
994,97,2,S
995,97,7,S
996,97,4,S
997,97,5,S
998,97,2,S
999,97,5,S
1000,97,1,S
1001,97,2,S
1002,98,1,B
1003,98,7,B
1004,98,2,B
1005,98,6,B
1006,99,2,B
1007,99,3,B
1008,100,3,B
1009,101,4,B
1010,101,3,B
1011,100,2,S
1012,101,5,B
1013,101,2,B
1014,101,7,B
1015,101,2,B
1016,101,5,B
1017,100,2,S
1018,100,4,S
1019,100,2,S
1020,99,1,S
1021,99,1,S
1022,99,3,S
1023,98,3,S
1024,99,6,B
1025,100,3,S
1026,99,1,S
1027,98,1,S
1028,98,4,S
1029,98,1,S
1030,98,5,S
1031,98,2,S
1032,98,8,S
1033,98,1,S
1034,97,1,S
1035,97,2,S
1036,97,3,S
1037,97,3,S
1038,97,3,S
1039,97,1,S
1040,97,6,S
1041,97,4,S
1042,97,1,S
1043,97,1,S
1044,97,3,S
1045,97,4,S
1046,97,2,S
1047,98,1,B
1048,97,4,S
1049,97,3,S
1050,98,1,B
1051,98,1,B
1052,98,4,B
1053,98,3,B
1054,98,3,B
1055,97,4,S
1056,97,1,S
1057,97,2,S
1058,97,4,S
1059,97,3,S
1060,98,2,B
1061,98,2,B
1062,99,8,B
1063,98,5,S
1064,97,1,S
1065,97,2,S
1066,97,5,S
1067,97,2,S
1068,97,1,S
1069,97,6,S
1070,97,3,S
1071,97,3,S
1072,97,4,S
1073,97,1,S
1074,97,5,S
1075,97,3,S
1076,97,1,S
1077,96,10,S
1078,96,1,S
1079,97,3,B
1080,97,5,S
1081,97,2,S
1082,97,6,S
1083,97,2,S
1084,96,1,S
1085,96,5,S
1086,96,1,S
1087,97,4,B
1088,96,6,S
1089,96,3,S
1090,96,2,S
1091,96,1,S
